Date,Open,High,Low,Close,Volume
1/1/13,4859.1,4880.7,4851.3,4869.5,12895749
1/2/13,4893.25,4919.8,4891.25,4911.3,19572716
1/3/13,4934.5,4937.55,4898.25,4905.35,20530585
1/4/13,4901.6,4902.75,4871.8,4892.9,28390554
1/7/13,4913.2,4949.25,4906.5,4913.2,22508954
1/8/13,4924.5,4936.8,4909,4915.3,20856928
1/9/13,4937.7,5002.85,4937.7,4951.75,32187210
1/10/13,4978.55,5007.65,4959,4970.9,31358714
1/11/13,4980.5,4988.5,4893.25,4908.35,25215245
1/14/13,4908.9,4925.75,4870.9,4882.1,17693994
1/15/13,4896.95,4940.5,4889.75,4903.25,26613774
1/16/13,4892.9,4900,4774.85,4784.05,28921832
1/17/13,4796.5,4834.7,4793.9,4806.6,24151967
1/18/13,4807.7,4807.7,4757.05,4778.25,30353458
1/21/13,4786.65,4790.6,4746.15,4765.1,22207026
1/22/13,4764,4778.8,4726.5,4739.3,20138318
1/23/13,4738.5,4754.65,4674.85,4699.6,23037518
1/24/13,4587.1,4605.2,4524.5,4579.9,55304787
1/25/13,4585.55,4686.75,4585.55,4679.05,43313806
1/28/13,4688.3,4737.25,4687,4723.25,25562695
1/29/13,4710.95,4762,4676.25,4680.8,26303177
1/30/13,4691.85,4699.15,4651.4,4658.55,20589309
1/31/13,4650.6,4684.6,4635.45,4649.9,19529941
2/1/13,4649.45,4679.95,4539.95,4591.05,30404057
2/4/13,4647.3,4664.55,4620.1,4628.15,22704216
2/5/13,4598.6,4620.85,4590.6,4611.95,20728060
2/6/13,4634.1,4638.75,4597.25,4605.5,27001905
2/7/13,4593.3,4625.55,4593.3,4615.1,16573395
2/8/13,4636.75,4660.2,4552.45,4566.05,33836625
2/11/13,4592.7,4597.45,4563.05,4571.2,14393322
2/12/13,4584.15,4617.3,4569.75,4611.75,18308036
2/13/13,4656.7,4677.05,4617.65,4628,20924907
2/14/13,4630.05,4632.6,4549.05,4567.15,20703960
2/15/13,4518.25,4595.45,4509.95,4585.35,23638163
2/18/13,4581.2,4594.75,4566.65,4586.2,18630792
2/19/13,4583.8,4635.2,4571.05,4627.9,12739920
2/20/13,4634.05,4647.8,4607.4,4619.65,18958682
2/21/13,4593.85,4595.85,4543.9,4550.8,19410506
2/22/13,4534.9,4553.6,4491.1,4526.8,16826298
2/25/13,4550.2,4572.95,4525.95,4563.65,14904104
2/26/13,4528.5,4528.5,4417.8,4436.05,18704423
2/27/13,4444.9,4489.7,4384.55,4469.55,19509868
2/28/13,4511,4521.7,4409.5,4424.8,33848228
3/1/13,4441.7,4502.05,4417.25,4481.6,25627405
3/4/13,4474.25,4478.8,4418.5,4454.25,18919903
3/5/13,4449.8,4544.75,4449.8,4531.05,35591695
3/6/13,4543.9,4570.15,4524.65,4546.6,22444605
3/7/13,4526.1,4589.95,4513.65,4578,28276791
3/8/13,4589.3,4613.4,4569.4,4601.25,21276163
3/11/13,4609.8,4625.5,4569.55,4578.85,16420049
3/12/13,4596.35,4624.3,4562.55,4584.6,24913752
3/13/13,4578.55,4578.55,4514.15,4520.85,30500868
3/14/13,4509.2,4541.5,4459.15,4534.75,21634482
3/15/13,4540.7,4554.05,4490.05,4498.6,23841948
3/18/13,4473.45,4478.85,4428.8,4438.55,13556323
3/19/13,4456.75,4474.75,4351.6,4375.45,27174259
3/20/13,4365.75,4389.7,4330.6,4373.2,18912322
3/21/13,4370.55,4370.55,4262.75,4283.1,23442593
3/22/13,4304.55,4338,4255.55,4284.95,23382542
3/25/13,4313.75,4324,4233.45,4247.9,19413677
3/26/13,4237.25,4278.75,4209.8,4258.65,16185500
3/28/13,4241.75,4241.75,4179.45,4224.6,31812520
4/1/13,4215.1,4216.3,4174.85,4195,11408981
4/2/13,4179.45,4215.55,4146.5,4210.85,17106052
4/3/13,4198.85,4206.8,4098.95,4111.5,19929476
4/4/13,4089.1,4146.2,4078.8,4092.9,15803287
