Date,Open,High,Low,Close,Volume
1/1/13,12549.95,12663.5,12547.15,12654.15,14463771
1/2/13,12748.85,12811.45,12748.85,12786.85,19173502
1/3/13,12828.3,12837.8,12722.45,12778.15,15299267
1/4/13,12774.8,12801.7,12684.65,12787.35,14247498
1/7/13,12837.45,12837.45,12682.8,12708.7,15376488
1/8/13,12693.6,12743.95,12632.35,12725.5,16161747
1/9/13,12724.4,12791.7,12687.95,12718,20803137
1/10/13,12775.25,12822.8,12697.75,12802.25,17945198
1/11/13,12832.45,12834.55,12582.65,12617.85,16288008
1/14/13,12622.05,12773.35,12609.9,12758.75,18865385
1/15/13,12766.55,12908.2,12718.4,12855.4,22098913
1/16/13,12836.2,12836.2,12616.2,12638.5,23353202
1/17/13,12608.85,12714.6,12583.35,12649.6,18933829
1/18/13,12688.15,12778.35,12624.4,12680,22876791
1/21/13,12678,12690.4,12608.5,12651.35,13806896
1/22/13,12640.4,12748.95,12544.4,12574.35,17986055
1/23/13,12635.25,12695.95,12509.45,12635.2,14130436
1/24/13,12624.45,12662.85,12534.25,12561.4,17182091
1/25/13,12575.85,12717.9,12535.75,12693.25,17898549
1/28/13,12705.8,12822.05,12698.85,12781.35,22657045
1/29/13,12804.4,12960.65,12685.9,12722.8,43090691
1/30/13,12754.85,12825.65,12726.65,12767.5,25435210
1/31/13,12741.3,12852.5,12688.75,12708.6,41354110
2/1/13,12718.55,12743.2,12580.85,12606.25,20519284
2/4/13,12656.85,12723.3,12515.35,12548.35,23395065
2/5/13,12426.45,12501.5,12415.15,12467.75,18651379
2/6/13,12525.4,12525.4,12396.8,12417.7,16879575
2/7/13,12372.5,12474.5,12305.45,12349.3,16832786
2/8/13,12341.45,12389.8,12245.95,12280.15,22965236
2/11/13,12298.1,12361.1,12273.65,12333,20471045
2/12/13,12331.4,12415.8,12301.65,12405.25,16994498
2/13/13,12424.95,12485.95,12361.9,12385.1,17581132
2/14/13,12400.65,12434,12284.5,12311.3,22406606
2/15/13,12284.45,12373.15,12256.8,12336.55,14358193
2/18/13,12353,12399.85,12329.35,12347.2,11671784
2/19/13,12347.55,12426.9,12303.7,12413.65,9960467
2/20/13,12460.4,12470.7,12351.7,12363.7,10674764
2/21/13,12295.15,12301.25,12036.45,12055.5,16289435
2/22/13,12024.4,12139.65,12024.4,12068.95,13752598
2/25/13,12119.95,12137.85,11961.5,12037.3,13701707
2/26/13,11995,11995,11808.8,11844.85,13359058
