Date,Open,High,Low,Close,Volume
1/1/13,7961.6,7969.8,7924.6,7932.45,18130610
1/2/13,7963.7,8041.7,7962.85,8022.95,27328253
1/3/13,8047.15,8116.3,8021.15,8110.45,26383670
1/4/13,8115.9,8198.1,8092.55,8183.5,32813509
1/7/13,8231.15,8248.8,8159.75,8174.7,28556183
1/8/13,8165.85,8178.7,8110.55,8164.45,23018923
1/9/13,8187.45,8217.1,8130.5,8186.15,28610671
1/10/13,8233.3,8279.55,8147.35,8192.7,30485760
1/11/13,8206.05,8210.8,8047.7,8069.45,23751256
1/14/13,8079.95,8203.1,8072.8,8170.85,27098158
1/15/13,8162.45,8227.55,8127.7,8213.05,29541372
1/16/13,8208.2,8299.5,8208.2,8244,29460581
1/17/13,8235.5,8471.6,8214.15,8458.05,45185058
1/18/13,8517.1,8769.9,8517.1,8711.35,73807268
1/21/13,8891.2,8962.85,8775.25,8798,46600820
1/22/13,8809.45,8847,8717.7,8756.25,41096705
1/23/13,8774.95,8801.4,8664.05,8726.25,28447042
1/24/13,8789.4,8849.8,8607.8,8638.55,40507624
1/25/13,8639.5,8670.5,8582.15,8654.25,32873429
1/28/13,8660.1,8678.95,8550.8,8565.9,25559071
1/29/13,8539.05,8589.5,8450.1,8470.85,25461188
1/30/13,8507.45,8592.1,8494.7,8532.6,26527256
1/31/13,8513.8,8530.25,8454.55,8482.65,40111413
2/1/13,8507.1,8563.55,8451.8,8505.4,29823363
2/4/13,8526,8548.35,8398.35,8410.5,21585020
2/5/13,8381.85,8414.25,8337,8344,21910621
2/6/13,8385.05,8409.9,8315.75,8329.25,26364562
2/7/13,8289.35,8357.55,8234.6,8261.55,53434317
2/8/13,8240.25,8256.25,8123.75,8166.25,75110373
2/11/13,8185.15,8205.8,8131.75,8170.65,28161420
2/12/13,8188.5,8274.45,8185.9,8261.45,30019500
2/13/13,8312.7,8341.55,8226.2,8252.8,32355610
2/14/13,8264.9,8291.9,8089.05,8124.4,40490810
2/15/13,8100.55,8119.05,7978.75,8074.05,41474726
2/18/13,8107.7,8130.1,8071.4,8080.9,27179754
2/19/13,8101.25,8192.1,8040.9,8151.9,30104872
2/20/13,8227.1,8298.5,8196.4,8271.55,31680548
2/21/13,8233.4,8274.9,8123.95,8156.15,34093936
2/22/13,8150.3,8230.85,8150.3,8189.5,31140728
2/25/13,8199.55,8206.4,8084.4,8128.3,30112511
2/26/13,8095.7,8095.7,7890.45,7912.8,38794279
2/27/13,7962,8045.35,7880.4,7991.5,43006728
2/28/13,8044.65,8080.05,7784.65,7828.95,97345820
3/1/13,7831.25,7888.05,7763.2,7850.8,38919496
3/4/13,7839.85,7884.1,7786.95,7838,29304707
3/5/13,7876.25,7967,7872.55,7948.45,28018293
3/6/13,7986.4,8021.35,7963.2,7995.4,20595707
3/7/13,7959.95,8036.65,7927.95,8006.45,18339341
3/8/13,8053.65,8177.6,8053.65,8150.7,27965736
3/11/13,8166.25,8220.15,8118.45,8138.55,23351829
3/12/13,8166.05,8186.85,8079.65,8106.05,25474562
3/13/13,8061.05,8111.25,8011.3,8037.05,20690603
3/14/13,8028.05,8141.7,7980.8,8124.2,26366658
3/15/13,8160.35,8210.65,8025.1,8038.4,27615809
3/18/13,7965.75,8004.65,7933.05,7960.15,17222249
3/19/13,7968.95,7988.45,7748.45,7851.4,32215776
3/20/13,7850.15,7852.1,7732.75,7744.55,33622568
3/21/13,7751.15,7807.1,7592.05,7629.9,34299065
3/22/13,7602.35,7690.75,7575.25,7617.15,32174727
3/25/13,7722.95,7782.65,7621.35,7659.95,38726954
3/26/13,7608,7643.1,7506.2,7532.7,30341551
3/28/13,7539.75,7585.75,7449,7551.5,44993860
4/1/13,7593.65,7657.1,7553.2,7595.55,19103163
4/2/13,7589.75,7734.5,7587.5,7722.1,25505429
4/3/13,7728.25,7755.8,7573.4,7616.65,40270332
4/4/13,7585.85,7645.9,7515.05,7534.7,25539486
4/5/13,7531.1,7623,7528.65,7611.45,28035248
4/8/13,7601.95,7676.9,7601.95,7652.2,19200784
4/9/13,7683.65,7716.6,7518.05,7541.85,29675336
4/10/13,7563.95,7588.85,7485,7568.65,25423994
4/11/13,7599.2,7604.1,7457.2,7526.8,24865652
4/12/13,7492.85,7589.25,7481.5,7579.3,16367443
4/15/13,7561.95,7774.5,7561.95,7711.1,25042791
4/16/13,7749.4,7880.35,7713.75,7869.75,40134521
4/17/13,7893.45,7899.45,7696.75,7714.8,34123783
4/18/13,7715.75,7822.8,7714.6,7809.15,24331462
4/22/13,7823.1,7884.8,7799.55,7857.35,29767979
4/23/13,7882.35,7906.75,7820.75,7896.8,34286524
4/25/13,7906.7,8079.1,7906.7,8027.5,56524196
4/26/13,7998.35,8052.65,7895.55,7903.3,30874323
4/29/13,7917.95,7992.15,7912.6,7950.45,28583957
4/30/13,7962.6,7980.4,7803.8,7935.1,35147526
5/2/13,7907.15,8050.25,7907.15,8024.85,40298907
5/3/13,8009.05,8068.75,7927.25,7939.05,35246568
5/6/13,7962.5,8051.6,7962.5,8016.75,27961384
5/7/13,8046.55,8100.35,8017.7,8060.55,35094259
5/8/13,8077.3,8093.1,8034.85,8065,23885767
5/9/13,8062.15,8074.3,8001.2,8017.8,36262258
5/10/13,8008.35,8068.1,8000.95,8019.45,33337368
5/13/13,8033.75,8082.65,7885.15,7906.65,28103220
5/14/13,7909.35,7994.8,7909.35,7935.7,26855978
5/15/13,7962.65,8102.55,7962.65,8090.65,38074774
5/16/13,8064.35,8243.15,8064.35,8193.15,35499069
5/17/13,8203.05,8241.2,8142.45,8217.15,32090961
5/20/13,8240.75,8293.15,8122.65,8140.75,29499451
5/21/13,8152.4,8182.85,8025.1,8044.7,31746938
5/22/13,8068.25,8087.75,7934.2,7979.25,32120737
5/23/13,7913.65,7958.5,7708.5,7729.4,36990743
5/24/13,7796.25,7814.45,7728.05,7754.05,25301145
5/27/13,7839.1,8003.95,7819.85,7972.5,22578438
5/28/13,7986.3,8113.2,7986.3,8093.65,28431034
5/29/13,8099.6,8111.45,8041.9,8098.45,28542148
5/30/13,8040.95,8084.05,7998.3,8059,35987296
5/31/13,8043,8062.4,7825.45,7852.1,37599480
6/3/13,7836.35,7839.5,7687.05,7701.5,22427810
6/4/13,7717.35,7798.65,7680.3,7701.35,22781186
6/5/13,7698.9,7840.4,7698.05,7825.55,17396311
6/6/13,7791.7,7796.85,7720.5,7750,21391630
6/7/13,7753.7,7815.55,7644.75,7666.1,19107542
6/10/13,7710,7747.35,7666.55,7690.45,21721541
6/11/13,7641.5,7694.55,7536.85,7576.15,31941374
6/12/13,7573,7650.65,7565.35,7599.4,22592618
6/13/13,7533.1,7581.45,7512.1,7551.9,20214769
6/14/13,7614.45,7747.4,7604.35,7721.85,23311946
6/17/13,7733.4,7778.95,7670.3,7768.1,18251666
6/18/13,7748.85,7810.8,7687.75,7710.5,21723064
6/19/13,7696.35,7752.4,7638.35,7740.15,23914311
6/20/13,7639.8,7639.8,7473.15,7487.75,29918802
6/21/13,7486.4,7611.8,7456.8,7521.75,32960818
6/24/13,7495.15,7500.95,7387.85,7432.9,30436861
6/25/13,7481.85,7624.2,7450.25,7493.5,29798161
6/26/13,7543.9,7578.85,7503.6,7519.3,28838968
6/27/13,7615,7751.25,7604.55,7708.85,40819311
6/28/13,8004.75,8056.35,7859.5,7998.5,63948084
7/1/13,8014.3,8167.4,8008,8153.8,32730188
7/2/13,8131.75,8180.55,8036.55,8048.55,28190497
7/3/13,7946.2,7976.25,7831.75,7841.75,22519619
7/4/13,7868.4,7943.55,7807.25,7906.95,28229364
7/5/13,7969.15,8033.3,7965.45,8005.15,19305365
7/8/13,7946.2,7946.65,7833.85,7848.15,39354512
7/9/13,7887.85,7944.1,7869.2,7909.65,45241788
7/10/13,7902.4,7937.1,7691.25,7767.8,37654826
7/11/13,7868.55,7949.8,7868.55,7920.45,25219773
7/12/13,7963.05,8017,7897.3,7992.9,33716470
