Date,Open,High,Low,Close,Volume
1/1/13,15194.55,15302.9,15194.55,15259.2,9170048
1/2/13,15283.1,15357.25,15197.15,15225.45,19296263
1/3/13,15253.25,15294.5,15140.55,15172.25,13899352
1/4/13,15216.4,15218.65,15047.45,15134.35,12282186
1/7/13,15182.55,15192.6,14938.05,14966.9,15706002
1/8/13,14956.95,15163.65,14954.85,15148.6,18399966
1/9/13,15124.35,15166.75,14891.25,14918.85,16372138
1/10/13,14938.15,14993.3,14874.85,14947.6,15571061
1/11/13,14914.35,14935.15,14527.1,14582.75,17624488
1/14/13,14597.1,14762.6,14583.5,14737.55,15068745
1/15/13,14745.6,14917.75,14627.35,14852.35,20748943
1/16/13,14880.4,14887.65,14755.8,14815.3,16360899
1/17/13,14778.65,14870.3,14755,14806,16677878
1/18/13,14853.35,14900.55,14763.5,14818.85,26777806
1/21/13,14860.85,15009.65,14785.55,14992.15,24488070
1/22/13,14989.05,14992.05,14698.5,14802.95,27665840
1/23/13,14654.75,14822.75,14635.1,14785.15,33257617
1/24/13,14785.55,14968.45,14785.55,14910.15,22462556
1/25/13,14952.4,15070.6,14916.1,15056.6,23144947
1/28/13,15061.05,15092.45,15008.2,15082.75,14735351
1/29/13,15023.5,15201.25,15013.35,15166.1,19343692
1/30/13,15161.8,15256.3,15037.85,15176.45,16380832
1/31/13,15194.35,15311.5,15110.8,15265.35,23965006
2/1/13,15262.35,15316.25,15168,15302.6,16998400
2/4/13,15309.25,15363.95,15210.4,15257.7,16527458
2/5/13,15181.25,15193.95,15053.95,15069.75,18864803
2/6/13,15100.8,15168.45,15009.7,15133.25,22949312
2/7/13,15070.35,15158.55,15048.65,15119.15,17872442
2/8/13,15056.05,15168.5,14940.65,14989.55,14970191
2/11/13,15037.4,15059.3,14842.55,14950.15,11873440
2/12/13,14915.55,15022.25,14915.55,14997.8,11658788
2/13/13,15024.7,15088.95,14900.6,14916.05,16818168
2/14/13,14907.55,15000.35,14872.85,14977.05,19573796
2/15/13,14936.6,15028.95,14933.65,14978.8,13120492
2/18/13,14975.6,15055.75,14959.2,15036,15119480
2/19/13,15037.05,15173.85,15010.9,15150.9,11904929
2/20/13,15189.85,15254.55,15055.8,15089.15,18385094
2/21/13,15068.9,15086.5,14848.25,14882.9,20974226
2/22/13,14859.25,14908.25,14635.65,14665.25,16915670
2/25/13,14694.15,14724.25,14555.9,14634.85,13136816
2/26/13,14643.65,14806.2,14481.8,14545.6,15470169
2/27/13,14590.9,14759.4,14590.9,14669.85,18871637
2/28/13,14711,14953.3,14546.7,14594.25,48828729
3/1/13,14620.9,14759.95,14520.4,14631.45,23354014
3/4/13,14618.4,14625.35,14374.65,14580.6,16639431
3/5/13,14624.15,14773.2,14573,14703.1,20030653
3/6/13,14796.95,14796.95,14493.4,14516.2,19853465
3/7/13,14481.45,14707.6,14447.7,14645.15,19774464
3/8/13,14712.8,14930.55,14671.75,14891.25,18110994
3/11/13,14900.8,14995.95,14881.9,14915.6,11871707
3/12/13,14902.2,15023.25,14869.35,14981.2,12506997
3/13/13,14954.75,15112.4,14954.75,15052.15,15629140
3/14/13,15048.7,15176.15,14980.7,15117.1,16471299
3/15/13,15131.45,15196.35,15101.8,15127.3,21404702
3/18/13,15077,15270.7,15077,15245.8,12202834
3/19/13,15342.75,15342.75,15139.2,15200.65,21677745
3/20/13,15163.85,15292.55,15163.85,15257.25,19507366
3/21/13,15259.75,15304.6,15120.95,15145.35,19742587
3/22/13,15188.7,15202.5,15097.4,15128.05,12107980
3/25/13,15165.15,15241.8,15028.45,15054.15,14817260
3/26/13,15078.05,15264.25,15052.7,15240.2,12994879
3/28/13,15269.35,15355.4,15147.75,15321.9,22701805
4/1/13,15310.3,15354.65,15254.9,15323.75,8219765
4/2/13,15297.15,15363.45,15210.25,15321.9,12025304
4/3/13,15282.05,15335.95,15201.8,15289.75,13753516
4/4/13,15239.2,15281.9,15018.45,15051.3,11008685
4/5/13,15042.1,15042.1,14781.1,14826.6,18719338
4/8/13,14852.35,14977.95,14704.55,14945.6,13568966
4/9/13,14980.8,15060.1,14662.5,14717.5,15339621
4/10/13,14839.35,14839.35,14481.65,14634.25,16205212
4/11/13,14752.2,14785.2,14611.9,14697.35,17694650
4/12/13,14732.85,15053.45,14716.9,14977.75,15197012
4/15/13,14968.5,15186.1,14868,15162.05,14505687
4/16/13,15140.3,15473.7,15099.4,15455.7,14454353
4/17/13,15435.05,15707.25,15435.05,15649.6,21930156
4/18/13,15593.45,15777.55,15571.45,15710.35,20099268
4/22/13,15680.2,15805.55,15673.55,15788.65,12556687
4/23/13,15799.85,15799.85,15682.4,15769.1,8393490
4/25/13,15731.55,15926.3,15686.95,15861.65,23391381
4/26/13,15779.85,15846.3,15693.7,15751.1,12952821
4/29/13,15724.7,16141.1,15721.25,16115.3,21758267
4/30/13,16458.45,17050.2,16458.45,16815.95,43660064
5/2/13,16769.4,17037.3,16718.15,16988.4,24187709
5/3/13,16967.3,16985.7,16846.95,16903.65,18463121
5/6/13,16868.15,16943.6,16741.55,16779.55,9836009
5/7/13,16792.3,17146.2,16792.3,17119.6,15702876
5/8/13,17158.6,17395.95,17116.9,17337.25,13128084
5/9/13,17384.25,17436.5,17307.2,17347.2,13047855
5/10/13,17322.4,17653.85,17281.65,17625.85,13375433
5/13/13,17659.2,17659.2,17099.2,17133.75,19219448
5/14/13,17216.35,17263.95,17064.45,17124.5,13898733
5/15/13,17201.6,17429.55,17147.2,17380.3,19154345
5/16/13,17316.05,17424.35,17079.6,17233.1,17493641
5/17/13,17275.1,17404.45,17166.45,17236.9,25485709
5/20/13,17240.4,17450.85,17128,17152.85,13323568
5/21/13,17136.8,17194.35,16990.6,17057.75,11619065
5/22/13,17015.7,17265.35,17015.7,17220.35,13803429
5/23/13,17137.7,17214.7,16998.4,17070.15,13647450
5/24/13,17138.05,17171.55,17000.85,17093.8,13478193
5/27/13,17126.6,17298.7,17116.2,17293.25,13732230
5/28/13,17265.95,17498.65,17214.4,17424.3,17727558
5/29/13,17460.25,17559.75,17359.05,17547.45,13054384
5/30/13,17524.45,17925.45,17515.65,17884.55,27407053
5/31/13,17792.4,17792.4,17468.2,17509.05,18502285
6/3/13,17512.4,17528.4,17302.5,17412.75,11720455
6/4/13,17405.85,17542.9,17405.85,17485.25,14285691
6/5/13,17419.2,17449.65,17277.05,17394.7,12403203
6/6/13,17366.35,17452.75,17255.65,17378,11385215
6/7/13,17340.05,17494.65,17280.35,17315.1,9908609
6/10/13,17341.05,17421.1,17314.55,17373.35,13229195
6/11/13,17294.2,17361.45,17213.65,17251.95,14151076
6/12/13,17214,17230.5,16967.5,17066.9,16065744
6/13/13,16948.7,16994,16783.7,16872.2,16223785
6/14/13,16965.2,17056.8,16902.5,17037.75,15481381
6/17/13,17081.9,17143.7,16887.35,17123.05,8510140
6/18/13,17091.4,17139.75,17017.35,17063.25,12543663
6/19/13,17044.85,17086.45,16971.25,17061.2,13135406
6/20/13,16963.4,16963.7,16638.8,16747.2,21067998
6/21/13,16716.2,16821.55,16594.6,16696.35,19370206
6/24/13,16628.55,16703.8,16242.55,16341.8,23220182
6/25/13,16392.25,16509.8,16180.1,16425.25,20135074
6/26/13,16497.4,16671.7,16410.05,16567.1,20357213
6/27/13,16689.85,16727.4,16412.2,16564.45,39948769
6/28/13,16613.5,16821.1,16586.35,16688.2,32591209
7/1/13,16715.95,16988.05,16662.75,16965.15,24740222
7/2/13,16949.45,16969.8,16842.75,16938.75,17562136
7/3/13,16870.65,17032.75,16765.05,16998.95,16092795
7/4/13,17022.25,17512.45,17022.25,17489.95,17396804
7/5/13,17737.55,17840.8,17603.95,17636.35,16485353
7/8/13,17573.1,17821.7,17476.3,17748.3,11972461
7/9/13,17729.35,17833.75,17729.1,17782.5,11263761
7/10/13,17806.7,17806.7,17565.65,17666.25,12245618
7/11/13,17888,17978,17716.25,17953.7,11365236
7/12/13,17964.1,17964.1,17764.75,17874.75,10385152
7/15/13,17918.45,18087.1,17824.8,18067.35,14226217
7/16/13,17894.75,18427.55,17894.75,18362.1,13537711
7/17/13,18396.1,19111.75,18396.1,19001.15,42766988
7/18/13,19008.8,19290.2,18950.3,19133.55,27698596
7/19/13,19179.85,19306.05,19035.25,19100.85,19280481
7/22/13,19032.5,19178.6,19032.5,19105.1,12468453
7/23/13,19174.05,19432.95,19162.3,19407.85,15983360
7/24/13,19381.25,19539.4,19106.15,19344.2,18584425
7/25/13,19277.9,19322.6,18562.75,18685.8,26274463
7/26/13,18717.65,18868.15,18276.95,18743.35,29597677
7/29/13,18621.25,18657.75,18136.75,18258.85,20496437
7/30/13,18173.7,18247.45,17846.75,17898,16961590
7/31/13,17848.5,17923.65,17334.45,17480.95,26899104
8/1/13,17502.25,17868.65,17351.25,17435.15,21104363
8/2/13,17492.45,17558.25,16983.35,17148.15,16000935
8/5/13,17191.65,17459.35,17127.55,17262.45,11663216
8/6/13,17235.85,17251.8,16911.1,16950.4,14738007
8/7/13,16979.9,16995.5,16510.7,16687.1,16096135
8/8/13,16688.8,16846.3,16626.05,16797.4,11749809
8/12/13,16953,17258.25,16825.65,17198.95,20846631
8/13/13,17229.4,17351,17174.5,17325.35,19422662
8/14/13,17294.95,17424.15,17173.75,17353.7,12278622
8/16/13,17305.2,17444.4,16588.45,16684.65,21710726
8/19/13,16675.4,16675.4,16137.35,16313.35,17745034
8/20/13,16206.1,16569.4,15884.05,16336.95,21430604
8/21/13,16533.7,16562.55,15648.95,15805,22125688
8/22/13,15779.1,16124.6,15463.55,16050.8,24067378
8/23/13,16115.4,16225.1,15870.6,16176.45,20013518
8/26/13,16262.6,16375,16138.2,16210.35,13525229
8/27/13,16140.5,16140.5,15557.95,15766,20578745
