Date,Open,High,Low,Close,Volume
1/3/05,116.53,127,116.18,125.23,4422305
1/4/05,127,132.9,123.55,124.95,4579629
1/5/05,125,126.2,111,116.83,4122409
1/6/05,117.45,117.45,112,114.22,2945084
1/7/05,115,118.22,112.5,117.38,2601049
1/10/05,119,119.05,114,115,2070452
1/11/05,115.55,116.95,111.65,112.37,2312061
1/12/05,110,113.7,107.83,109.1,1583200
1/13/05,110,114.58,110,112.95,2158189
1/14/05,113.5,113.5,108.77,109.18,2023052
1/17/05,110,110.25,103.45,106.63,2022913
1/18/05,106.5,110.87,106.05,107.85,9198825
1/19/05,109.5,109.5,104.75,105.45,2757164
1/20/05,105.75,105.75,101.1,103.3,1543812
1/24/05,103,105.25,103,104.27,1212489
1/25/05,104,108,102.58,107.5,2092801
1/27/05,108.5,110.15,107.3,109.4,2913748
1/28/05,109.95,111.7,109.4,110.2,4266673
1/31/05,111.5,116.5,111.25,115.28,5128536
2/1/05,119.5,135,115.05,119.5,7997452
2/2/05,122.5,122.5,117.5,117.92,3878849
2/3/05,119,120.7,118,119.38,4373917
2/4/05,112.8,121,112.8,117.98,3480173
2/7/05,119.5,120.2,116.08,116.68,4054993
2/8/05,116.75,121.3,115.28,119.93,4449292
2/9/05,121.5,122.95,120.1,121.67,5568740
2/10/05,121.75,125.23,121.07,122.87,4938164
2/11/05,123,124.5,121.78,123.13,1757593
2/14/05,125,126.35,121.75,125.65,5793757
2/15/05,126.5,126.5,123.55,124.65,3766608
2/16/05,125,126.65,120.5,122.08,6730729
2/17/05,122.4,122.4,118.65,120.98,3756637
2/18/05,121.5,121.7,116.85,117.95,6291280
2/21/05,119,119,115.5,116.12,1983040
2/22/05,116.12,120,116.12,119.38,3289397
2/23/05,119.9,121,118.55,119.1,1956733
2/24/05,119.87,120.25,116.5,117.05,4445824
2/25/05,122.5,129.7,118.95,121,10508533
2/28/05,121.7,121.7,117.5,120.68,4448964
3/1/05,121.5,121.5,116.5,119.48,2606221
3/2/05,119.95,120.8,118.63,120.25,2207100
3/3/05,121.5,122.7,120,122.18,3902308
