Date,Open,High,Low,Close,Volume
1/3/05,154.2,154.78,152.07,153.32,866930
1/4/05,154,154,151.4,152.97,581655
1/5/05,151.25,153.8,147.05,149.4,866455
1/6/05,148.4,148.58,145,147.47,911105
1/7/05,136.4,148,136.4,145.27,1675040
1/10/05,146,148.8,145,146.09,1440695
1/11/05,146.2,146.2,142.8,144.3,1268990
1/12/05,144,146,143.6,144.42,892425
1/13/05,145,146.48,142.4,143.94,1354060
1/14/05,143.6,149,143.14,146.71,1318210
1/17/05,146.71,151.88,146.61,150.33,1264315
1/18/05,153,156.4,150.31,155.73,4257810
1/19/05,156,156,153,155.31,1590550
1/20/05,151.21,154.6,150.63,152.58,2967110
1/24/05,152,152.76,143,149.05,1808480
1/25/05,148.8,152.58,147,149.91,2718765
1/27/05,150.8,154.79,149.2,150.94,2551780
1/28/05,155,155,149.33,150.81,2804880
1/31/05,152.99,157.58,151.42,155.62,2422925
2/1/05,157,157.4,153.71,155.1,1842615
2/2/05,155.6,155.6,152,154.67,828120
2/3/05,155.6,158.47,154.6,157.43,3074570
2/4/05,158.8,164,157.6,163.4,3314440
2/7/05,162.2,164.2,158.28,158.99,1268155
2/8/05,159.2,164,157.41,163.27,1430045
2/9/05,163.61,164.4,161.23,162.66,1038135
2/10/05,163.6,163.6,157.55,158.24,1801775
2/11/05,162.89,162.89,155.8,156.96,2445585
2/14/05,158.6,158.6,156,156.54,802890
2/15/05,156.98,157.2,155.2,155.94,811270
2/16/05,156.58,158.36,153.04,154.49,3443640
2/17/05,155.97,156,153,155.16,1313645
2/18/05,156,157,155,156.34,2527640
2/21/05,156,158,153.4,155.24,1713015
2/22/05,156.2,157,154.4,155.7,666830
2/23/05,157.78,157.96,154.3,155.33,992990
2/24/05,155,155.95,153.6,154.17,1281110
2/25/05,155.57,155.57,150.25,151.51,1650250
2/28/05,152.02,156.94,151.6,155.75,2244830
3/1/05,156.6,157.97,155.04,156.43,1494595
3/2/05,156.4,156.98,153.46,154.05,858315
3/3/05,152.04,155.6,152.04,154.71,804175
3/4/05,158,162,156.2,157.38,4242075
3/7/05,159.74,162.2,157.44,160.49,2543135
3/8/05,163.2,166,158,158.89,1517455
3/9/05,158.8,161.4,158,160.25,2930165
3/10/05,160,164.73,159.01,164.01,2265485
3/11/05,165,165,158.8,160.4,1709530
3/14/05,160.4,160.98,158.6,160.16,913885
3/15/05,158.25,159.6,156,157.65,771890
3/16/05,160,162.2,155.44,156.64,851475
3/17/05,156.6,157,155.45,156.03,1074745
3/18/05,155.98,156,150,152.22,1348650
3/21/05,151,153.74,149.8,150.52,2445305
3/22/05,150.46,150.76,147.01,147.73,1743630
3/23/05,146.41,148.38,140.4,141.62,2204425
3/24/05,142.4,143.6,137.4,138.21,3106415
3/28/05,139.4,142.6,138.42,141.77,2061870
3/29/05,142.8,142.8,135.42,137.88,1876910
3/30/05,139.39,147.98,138.25,146.96,2749600
3/31/05,147,151.88,143.81,145.8,3069005
4/1/05,146.99,146.99,142,143.33,2137495
4/4/05,145.6,147,143,145.08,3028500
4/5/05,145.08,146,142.2,145.13,1011485
4/6/05,145.37,145.37,142.1,142.99,1521150
4/7/05,144.8,144.8,142.4,143.52,1266410
4/8/05,143.9,144.4,141.64,142.5,339385
4/11/05,141,143.39,139.4,140.26,550580
4/12/05,141,142.58,139,141.68,471595
4/13/05,141.64,145,141.64,144.56,715445
4/15/05,144,144,139.41,140.53,1220045
4/18/05,139.64,141.98,135.8,138.3,2118375
4/19/05,139,143.57,138.44,141.07,1581780
4/20/05,142.2,144.4,141.4,143.57,2280460
4/21/05,143,145.95,142.2,145.3,2546900
4/22/05,144.26,146,144.01,145.34,1623305
4/25/05,145.99,146.98,143.03,146.07,1141000
4/26/05,144.6,146.2,142.8,144.05,1007905
4/27/05,143.88,147.6,142.64,145.22,1215160
4/28/05,145.1,153,143.4,150.49,2270465
4/29/05,150.5,150.5,145.4,146.24,1084655
5/2/05,147,148,143.66,147.31,995020
5/3/05,148.4,150.51,146.4,149.56,725125
5/4/05,148.2,151.58,147.81,150.75,1202645
5/5/05,151.57,153,147.18,148.77,1387515
5/6/05,149.98,150.6,146.8,148.6,2056990
5/9/05,149,149.9,147,148.42,2162995
5/10/05,147.8,149.35,146.4,147.18,1938335
5/11/05,147.2,149,145.6,147.02,1345855
5/12/05,147.78,151.94,147.24,150.66,1349605
5/13/05,150.62,155.03,149.42,153.3,3026025
5/16/05,153.98,154.6,151.61,152.96,2366795
5/17/05,152.8,154.34,152.41,153.27,1542185
5/18/05,153.02,153.22,150.42,152.37,1736775
5/19/05,152.98,153.6,151.58,152.43,391795
5/20/05,152.98,153.18,151.23,152.29,170870
5/23/05,152.2,152.8,150.8,151.51,570905
5/24/05,150.82,151.79,150.46,150.96,960190
5/25/05,150.8,151.99,150.8,151.43,455675
5/26/05,151.2,156.2,150.1,154.21,1710760
5/30/05,153,153,150,152,501205
5/31/05,150.8,153,150.8,152.72,827790
6/1/05,153.38,154.4,152.3,153.82,1120030
6/2/05,153.98,155,151,152.94,1007280
6/3/05,153.94,153.94,152.4,152.78,667175
6/4/05,153.02,154.6,153,153.94,152045
6/6/05,154,157,153.4,156.34,1151005
6/7/05,156.4,165.96,154.6,161.49,2573470
6/8/05,162.02,166.36,162.02,165.32,1551645
6/9/05,165.6,169.18,161.8,167.78,1078735
6/10/05,167.76,169.98,167,168.45,1060385
6/13/05,167.42,168.9,165.02,166.3,748030
6/14/05,166,167.98,163.45,164.4,1044695
6/15/05,164.8,165,163,163.54,545360
6/16/05,164.28,170.1,162.05,168.84,3138710
6/17/05,169.57,172.8,167.01,171.97,2099540
6/20/05,170.02,173,169.2,170.02,552855
6/21/05,170,171.56,168.02,169.12,533235
6/22/05,168.8,175.8,168.8,174.52,3102765
6/23/05,173,175.78,170.45,172.02,1038350
6/24/05,170.94,171.6,168.03,169.97,1139305
6/27/05,169.4,172,167.8,170.4,1448290
6/28/05,170.4,173.6,169.04,172.88,2390560
6/29/05,171.8,171.8,168.2,170.38,2274485
6/30/05,173.77,182.4,169.7,178.17,2235490
7/1/05,172.42,177,172.42,174.05,1340325
7/4/05,175.09,183,173.7,176.12,1455295
7/5/05,176.12,183.38,176.12,180.36,2262875
7/6/05,180.2,187.96,178.8,186.13,2527435
7/7/05,185.6,187,180,180.36,1697710
7/8/05,182,184.79,180.61,182.07,1452145
7/11/05,184,188,183.8,185.46,1689050
7/12/05,186,186.4,175,179.88,1442465
7/13/05,183,183,175.61,177.58,784580
7/14/05,178.6,179.78,175,175.64,1167840
7/15/05,176.7,180,175.22,178.18,541345
7/18/05,171,181.6,171,178.2,472205
7/19/05,180,181,177,180.09,2431655
7/20/05,180,181.76,175,176.01,996730
7/21/05,179.5,180.33,176.03,178.52,1076165
7/22/05,178.62,180.22,176.22,178.97,1589420
7/25/05,176.6,183.02,176.6,181.01,1779075
7/26/05,181.6,183,180.95,181.48,1850730
7/27/05,180.02,183,178.7,181.52,397900
7/29/05,183,190,181.6,185.16,3930565
8/1/05,185.42,187,184.4,185.05,1529950
8/2/05,186.8,188.4,183.44,185.95,3937290
8/3/05,186,186.4,183.6,185.49,3175545
8/4/05,183.6,185.13,181,183.64,1130025
8/5/05,184.2,184.2,180.4,181.2,1697380
8/8/05,181.8,182.39,177.8,178.67,1536855
8/9/05,179.8,180.75,177.75,179.58,746925
8/10/05,178.4,182.73,178.4,181.83,1479345
8/11/05,183.76,190.65,180.4,190.19,1947155
8/12/05,190,191.96,186.03,187.49,1956465
8/16/05,186,189.4,185.04,187.86,822510
8/17/05,186.61,188,185.4,187.95,828545
8/18/05,188.4,188.4,184.3,185.52,533595
8/19/05,184.4,188,184.2,185.52,781995
8/22/05,186.4,187.8,180,182.7,913865
8/23/05,182.8,184.6,180.4,181.85,1750530
8/24/05,184.8,184.8,178.8,179.95,1108970
8/25/05,181,182.16,175.6,177.08,3159995
8/26/05,183.6,183.6,177,178.61,2494665
8/29/05,178,178,173.6,174.34,1428700
8/30/05,174.8,180.94,174.74,179.65,2352795
8/31/05,179.25,182.98,176.5,180.76,913530
9/1/05,180.81,184.9,180.81,183.7,749580
9/2/05,184.18,185,180.2,180.7,1086775
9/5/05,181.4,183.6,180.08,180.73,843195
9/6/05,181.02,181.4,179.8,180.36,497740
9/8/05,181,188.01,180.2,187.46,2452285
9/9/05,187.4,187.4,183,183.54,592125
9/12/05,184.6,188,183,186.52,1149010
9/13/05,189,193.1,186.64,192.29,2202940
9/14/05,191,200.8,190,197.43,2100500
9/15/05,197.02,201,195.4,200.22,1075845
9/16/05,201,216.18,199.25,212.96,2459510
9/19/05,213.1,213.6,208.8,210.46,1737835
9/20/05,210.96,210.96,204.06,205.97,1410870
9/21/05,202.2,206,196,198.07,2800890
9/22/05,198.18,200.6,190,193.35,2367610
9/23/05,194.6,195.98,190,191.17,1139280
9/26/05,194,199.39,192,197.79,1563100
9/27/05,200,202.4,198.02,200.35,1729970
9/28/05,203.94,208.8,201.44,207.57,2627405
9/29/05,208,210,201,203.95,3854050
9/30/05,205,209.94,198,207.88,2390275
10/3/05,208.97,208.97,202,203.69,1995300
10/4/05,206,209,203.1,204.71,2097555
10/5/05,204.2,207.05,204.2,206.08,1569135
10/6/05,205,205.98,198.31,200.18,3537625
10/7/05,199.8,202,196.22,198.91,5085230
10/10/05,200.6,201.96,196,196.76,608050
10/11/05,197.2,199.6,193.03,198.38,1089885
10/13/05,197.23,204,194,196.32,5548035
10/14/05,203.89,203.89,195.6,197.17,1632695
10/17/05,196.02,198,193.99,195.88,1032205
10/18/05,196.6,198,195,196.65,2687885
10/19/05,194.98,196.99,192.23,194.78,1257350
10/20/05,197.99,197.99,187.82,190.17,1324130
10/21/05,190,190.8,182.2,184.74,3791685
10/24/05,184.02,185.4,182.15,182.58,2230825
