Date,Open,High,Low,Close,Volume
1/3/05,264.88,299.75,261.94,264.94,4552144
1/4/05,265.62,265.62,260,261.26,5110432
1/5/05,258.12,260,250.14,256.56,11098936
1/6/05,255.16,261.74,249.75,255.47,13515552
1/7/05,254.38,258.12,249.38,256.35,16750040
1/10/05,257.5,262.5,247.62,249.36,12325920
1/11/05,248.75,252.84,243.89,246.46,17041600
1/12/05,253.12,253.12,234.4,238.28,31558504
1/13/05,256.26,256.26,241.25,246.04,17530232
1/14/05,247.5,251.04,243.75,246.75,9926048
1/17/05,247.75,251.75,241.9,249.71,9754200
1/18/05,251.25,252.5,243.99,245.68,9417880
1/19/05,244.4,248.72,243.91,244.87,6018736
1/20/05,244,247.25,240.25,245.6,9269560
1/24/05,245,245.61,236.58,238.19,9331408
1/25/05,238.62,240.25,235.25,239.1,8100528
1/27/05,241.25,245.56,240.7,244.01,9834088
1/28/05,245,255.98,243.15,254.7,8999776
1/31/05,257.62,262.21,254,258.58,11932360
2/1/05,258.75,261.75,256.88,257.72,11083296
2/2/05,259.12,263.62,258,258.98,6469128
2/3/05,258.75,263.75,257.77,262.67,7406736
2/4/05,264.38,264.98,259.69,260.68,4790288
2/7/05,260,263.12,252.5,253.74,15544720
2/8/05,257.5,257.5,253.12,255.45,8682232
2/9/05,256.25,258.05,254.76,255.62,4137104
2/10/05,256.88,256.88,253.2,255.55,3717808
2/11/05,258.75,263.46,258.75,262.95,9261528
2/14/05,265,272.46,265,271.2,10522432
2/15/05,271.25,273.5,268.12,272.74,7769912
2/16/05,273,275.69,271.25,272.96,8378616
2/17/05,271.25,272.48,266.9,271.74,8764360
2/18/05,271.25,272.96,262.62,270.58,3235688
2/21/05,270.25,270.62,266.25,267.99,4003736
2/22/05,268.62,271.88,262.96,270.12,4116416
2/23/05,269.08,269.38,266.88,267.58,3811768
2/24/05,268.12,271.88,267.5,270.54,6735416
2/25/05,269.42,273.25,269.42,272.43,5272120
2/28/05,276.12,280.99,269.13,280.01,8739280
3/1/05,280,280,271.88,272.65,5880144
3/2/05,272.75,275.62,268.76,273.38,7537752
3/3/05,272.62,278.38,272.62,276.8,7491360
3/4/05,276.9,281.23,276.88,279.27,6248448
3/7/05,279.38,282.75,277.82,281.51,6126040
3/8/05,281.25,285.33,280,283.01,5378656
3/9/05,281.25,284.1,278.29,281.49,4335088
3/10/05,281.25,281.25,274.38,279.01,6632960
3/11/05,280,281.25,275.65,276.83,4961320
3/14/05,276.25,280.12,273.75,278.27,5257704
3/15/05,275,278.73,270,276.35,3134144
3/16/05,274.5,278.08,273.26,274.14,5346768
3/17/05,274.38,275.49,271.39,272.64,4108056
3/18/05,273.08,275.62,268.12,274.99,7728728
3/21/05,276.12,281.1,274.38,279.57,7420744
3/22/05,282.38,282.5,275,277.97,6692408
3/23/05,277.19,277.98,268.92,270.3,5993080
3/24/05,271.25,273.56,268.75,269.89,6287368
3/28/05,271.88,277.12,270.88,273.25,5007152
3/29/05,273.5,273.5,268.75,270.82,4209808
3/30/05,269.38,273.75,267.75,271.29,4866648
3/31/05,278.08,289.38,273.51,282.15,8966216
4/1/05,282.49,282.49,276.54,279.48,6863456
4/4/05,279.62,282.12,277.05,278.58,6460088
4/5/05,281.25,302.85,276.62,277.68,3905072
4/6/05,278.12,280,276.38,279.54,4648480
4/7/05,278.5,280.58,271.94,273.54,5513768
4/8/05,271.94,272.5,264.75,265.99,9835864
4/11/05,266,266,258.78,259.73,5978320
4/12/05,248,266.25,248,264.7,8623184
4/13/05,267.5,267.5,260.9,262.69,9515488
4/15/05,256.25,256.25,241.88,244.64,17460000
4/18/05,243.75,243.75,237.5,239.24,13481640
4/19/05,241.75,246.84,237.5,239.08,12275400
4/20/05,243.75,244.96,236.67,243.5,13363144
4/21/05,242.5,243.75,237.88,243.1,10676152
4/22/05,247.5,251,243.48,249.9,12250584
4/25/05,252.25,252.25,246.88,248.55,6824984
4/26/05,247.38,247.46,244.07,244.82,4552992
4/27/05,239.38,241.88,234.75,239.27,16217312
4/28/05,238.75,239.38,236.25,238.2,11058680
4/29/05,239.88,239.88,234.55,235.85,6900544
5/2/05,237.12,248.18,237.12,239.4,5524200
5/3/05,240.62,240.62,237.5,237.68,5233792
5/4/05,237.5,243.38,237.5,242.2,5683552
5/5/05,246.25,250.88,243.9,249.4,12781000
5/6/05,250.38,253.75,249.62,252.7,7873056
5/9/05,254.88,262.94,254.88,262.08,9836944
5/10/05,262.5,264.88,256.25,257.4,9127448
5/11/05,249.38,260,249.38,258.24,8044080
5/12/05,257.83,258.25,255.12,257.64,5764072
5/13/05,256.25,256.25,252.55,254.11,8703160
5/16/05,255,260.61,255,259.74,8133352
5/17/05,260.5,264.5,256.95,257.99,10533648
5/18/05,257.5,257.74,249.14,255.28,11085672
5/19/05,258.12,263.75,258.12,262.1,8413640
5/20/05,264.25,268.75,259.25,267.56,7677280
5/23/05,268.5,268.5,264.54,266.82,2901864
5/24/05,270.26,271.7,267.31,269.44,7146512
5/25/05,266.38,275,263.9,271.4,13082728
5/26/05,270.63,278.5,270.63,275.65,16285096
5/30/05,274.51,280.12,273.82,278.5,7085392
5/31/05,276.88,282.25,276.5,281.3,6759440
6/1/05,281.88,282.62,276,277.75,6199112
6/2/05,278.12,279,274.48,275.17,3741624
6/3/05,276.12,284.36,273.75,281.98,6343848
6/4/05,281.25,282.5,279.42,280.17,1283376
6/6/05,279.42,282.12,275.42,277.06,3843368
6/7/05,275.12,280.5,275.12,279.1,4888880
6/8/05,277.83,288.12,277.83,287.03,8312520
6/9/05,284.7,286.25,278.39,279.6,6449960
6/10/05,281.25,283.75,275,276.53,5813096
6/13/05,276.92,280.5,276.92,278.01,5144296
6/14/05,280.01,282.5,278.12,279.4,3848512
6/15/05,280,283,278.77,282.08,6816544
6/16/05,281.25,286.86,279.4,285.06,8610368
6/17/05,285,287.24,283,286.01,7750208
6/20/05,286.88,297.83,279.33,296.39,12181552
6/21/05,293.75,300,291.42,299.19,9780464
6/22/05,294.42,301.74,294.42,298.63,12860808
6/23/05,299.38,299.38,292.27,293.03,8220344
6/24/05,290,293.12,287.76,289.13,7799904
6/27/05,285.01,295.12,285.01,292.3,7305720
6/28/05,293,293,286,286.58,7405272
6/29/05,289,291.88,287.51,290.58,6418176
6/30/05,292.75,298.73,292.5,294.78,9732112
7/1/05,293.12,295.75,291.02,293.88,3057128
7/4/05,293.75,299.99,291.54,299.27,3705584
7/5/05,298.75,299.88,290.02,291.29,4507824
7/6/05,291.25,294.98,289.75,293.2,9409152
7/7/05,294,296.74,288.33,289.99,7419176
7/8/05,293.5,294.5,288.78,291.87,5368304
7/11/05,293.75,295,288.13,289.48,9333000
7/12/05,290,290,274.42,277.65,24201056
7/13/05,278.12,281.35,275,275.68,15678000
7/14/05,276.88,277.8,265.65,266.98,14569976
7/15/05,274.38,275.62,267.4,274.49,8006112
7/18/05,274.51,285,274.51,284,11572368
7/19/05,284,285,281.25,282.05,5515416
7/20/05,283.08,283.08,278.88,279.17,5216304
7/21/05,283.08,290.14,274.5,276.12,6087528
7/22/05,276.5,281,272.14,279.85,8938272
7/25/05,279.38,282.33,277.53,278.61,4527712
7/26/05,278.75,279.38,276.12,278.3,4031648
7/27/05,279.38,280.5,277.25,278.82,3653216
7/29/05,277.62,286.62,277.62,283.56,14097200
8/1/05,275.25,284.3,275.25,283.07,3649816
8/2/05,284.3,288.5,282.57,287.4,6764592
8/3/05,288.75,295.62,288.75,294.51,8269800
8/4/05,295.62,297.75,287.92,289.19,5822864
8/5/05,288.25,289.51,284.56,286.44,5977112
8/8/05,286.51,286.51,281.25,283.83,4827056
8/9/05,281.28,286.08,281.28,283.01,5646176
8/10/05,285.5,290.88,284.75,289.38,6401464
8/11/05,290.12,290.62,285.62,286.68,4230432
8/12/05,288.75,288.75,281.52,282.68,5881984
8/16/05,281.52,282.5,278.75,281.24,6252624
