Date,Open,High,Low,Close,Volume
1/1/13,6055.5,6059.95,6025.05,6033.3,5718648
1/2/13,6049.9,6063.85,6018.3,6031,7275859
1/3/13,6045.35,6111.35,6034.95,6097.6,14288651
1/4/13,6118.5,6159.8,6108,6153.2,14690386
1/7/13,6159.35,6190.55,6141.2,6175.45,9989383
1/8/13,6160.75,6173.75,6115.15,6147.9,11889201
1/9/13,6143.95,6177.3,6091.2,6101.05,10751985
1/10/13,6109.15,6131.15,6057.45,6073.1,12195957
1/11/13,6370.4,6654.65,6370.4,6639.85,35533400
1/14/13,6719.75,6846.15,6716.85,6809.5,23165837
1/15/13,6884.35,6898.7,6780.4,6791.5,21541818
1/16/13,6785.2,6792.3,6738.65,6777.95,18184400
1/17/13,6833.05,6896.05,6822.7,6869.45,23121070
1/18/13,6885.9,6890.1,6786.95,6798.7,21873228
1/21/13,6772.05,6823.4,6756.4,6789.4,11468105
1/22/13,6782.45,6788.7,6731,6739.65,10133255
1/23/13,6734,6767.85,6707.3,6725.8,14151387
1/24/13,6742,6799.2,6732.7,6742.4,14250450
1/25/13,6752.65,6817.85,6736.85,6800.75,18276874
1/28/13,6796.3,6848.5,6785.4,6822.7,13114037
1/29/13,6808.05,6849.45,6783.15,6792.3,8822745
1/30/13,6794.95,6806.35,6776.9,6787.85,9248936
1/31/13,6789.8,6807.75,6733,6778,12888087
2/1/13,6779,6802.9,6732.05,6752.65,7502737
2/4/13,6766.65,6794.5,6728.8,6750.25,6639717
2/5/13,6724.4,6771,6720.05,6728.7,7168106
2/6/13,6760.6,6775.9,6738.25,6766.8,11278744
2/7/13,6762.3,6813.15,6762.3,6799,12531757
2/8/13,6793.75,6909.55,6793.75,6852.7,13270003
2/11/13,6872.9,6890.75,6826.3,6832.05,21861159
2/12/13,6799.9,6809.25,6766.75,6791.9,9377666
2/13/13,6796.45,6897.75,6779.65,6884.15,11990584
2/14/13,6878.25,6939.75,6878.25,6900.35,14181569
2/15/13,6866.7,6876.35,6826.5,6864.15,9172831
2/18/13,6853.35,6858.85,6808,6834.7,7593063
2/19/13,6832,6944,6813.55,6936.25,10285354
2/20/13,6937.4,6977.7,6937.4,6972.05,12936489
2/21/13,6929.5,6985.3,6924.8,6939.85,15307119
2/22/13,6924.45,7018.55,6924.45,6992.85,12939296
2/25/13,7026.2,7126.95,7026.2,7095.2,29061664
2/26/13,7082.85,7172.05,7082.85,7156.75,24279074
2/27/13,7144.85,7155.9,7064.3,7072.5,40304753
2/28/13,7084.8,7160.75,7069.65,7106.65,30903940
3/1/13,7116.3,7171.95,7090.95,7117.7,33814388
3/4/13,7112.5,7163.7,7062.6,7101.65,19131689
3/5/13,7131.8,7205.8,7117.6,7200.2,19634280
3/6/13,7227.7,7314.9,7226.75,7305.9,14098919
3/7/13,7319.9,7420.45,7319.9,7410.25,21534871
3/8/13,7391.55,7402.55,7344.15,7357,17915494
3/11/13,7355.75,7380.1,7290.25,7304.6,17219221
3/12/13,7286.65,7295.55,7232.25,7253.2,10365738
3/13/13,7211.25,7211.25,7159.35,7170.4,12363049
3/14/13,7180.95,7242,7131.95,7212.4,11238796
3/15/13,7221.85,7277.2,7212.3,7224.35,13009097
3/18/13,7190.85,7227.45,7166.85,7198.65,8038844
3/19/13,7213.25,7229.2,7140,7152.55,12293899
3/20/13,7153.85,7179.75,7115.65,7158.25,13596944
3/21/13,7186.35,7220.05,7157.1,7168.05,9316043
3/22/13,7140.45,7149.7,7085.15,7119.8,10941306
3/25/13,7113.05,7131.9,7072.75,7105.95,11821166
3/26/13,7094.55,7163,7072.1,7137.05,8782316
3/28/13,7153.6,7232.1,7147.25,7219.05,18035160
4/1/13,7230.65,7298.95,7230.65,7264.35,12248514
4/2/13,7249.35,7337.45,7232.1,7325.25,10047476
4/3/13,7305.6,7354.3,7248.4,7271.9,9890987
4/4/13,7232.65,7232.65,7060.65,7072.7,10637548
4/5/13,7066.85,7098.65,7018.45,7047.35,7293853
4/8/13,7027.9,7057,6968.35,6977.1,6946763
4/9/13,6984.85,7023.9,6892.25,6905.7,10086661
4/10/13,6977.8,7058.25,6939.65,7042.95,8970070
4/11/13,7125.8,7221.7,7066.3,7200.35,12204075
4/12/13,6726.4,6726.4,6321.65,6354.9,23047055
4/15/13,6348.65,6370.8,6177.45,6342.7,16867274
4/16/13,6305.05,6327.4,6266.15,6301.1,7706190
4/17/13,6352.3,6370.95,6190.1,6235.85,15051078
4/18/13,6282.5,6294.1,6199.25,6232.6,11291010
4/22/13,6217.15,6233.3,6106.9,6118.25,12868360
4/23/13,6127.2,6181.1,6127.2,6156.9,10076518
4/25/13,6141,6141,6053.75,6059.8,15673566
4/26/13,6036.75,6046.25,5964.45,5972.7,11304127
4/29/13,5959.45,6052.25,5936.4,6015.45,13808355
4/30/13,6017.75,6055.5,6001.7,6047.7,10965185
5/2/13,6035.4,6211.6,6035.4,6205.9,12590875
5/3/13,6211.8,6267.45,6208.3,6224.7,9015052
5/6/13,6238.85,6351.15,6238.85,6343.25,9529270
5/7/13,6356.35,6379.9,6313.85,6372.75,8440039
5/8/13,6393.8,6412.85,6365.8,6380.15,10109366
5/9/13,6389.15,6449.5,6389.15,6426.45,8393300
5/10/13,6429.85,6476.55,6416.6,6439.85,5632913
5/13/13,6398.55,6407.45,6309.75,6316,6003376
5/14/13,6322.1,6371.45,6298.4,6328.05,6229461
5/15/13,6332.45,6375.95,6316.55,6359.7,8151667
5/16/13,6347.55,6347.55,6264.85,6292.15,8120999
