Date,Open,High,Low,Close,Volume
1/3/05,33.82,34.08,33.51,33.67,5997381
1/4/05,33.57,33.95,33.33,33.71,6047223
1/5/05,33.97,33.97,32.85,33.25,12139335
1/6/05,33.18,33.18,32.34,32.73,8709441
1/7/05,32.46,33.51,32.46,33.34,8558043
1/10/05,33.33,33.33,32.51,32.68,5777343
1/11/05,32.12,33.21,32.05,32.6,5263323
1/12/05,33.07,33.28,32.13,32.59,13884351
1/13/05,32.94,32.94,31.54,31.91,11011533
1/14/05,31.97,32.39,31.29,32.13,12111723
1/17/05,32.21,32.21,31.54,31.87,8807214
1/18/05,32.03,32.42,31.85,32.05,12254229
1/19/05,32.05,32.31,31.55,31.81,6078618
1/20/05,32.28,35.72,31.08,35.35,113742288
1/24/05,35.45,35.54,34.31,34.53,27665469
1/25/05,34.41,36.07,33.65,34.85,54379848
1/27/05,34.9,35.87,34.41,35.5,44039385
1/28/05,35.49,36.33,35.1,35.88,36900357
1/31/05,35.39,36.03,34.23,34.91,48015474
2/1/05,34.13,35.31,34.13,34.61,42176667
2/2/05,34.64,34.64,33.87,33.99,12646998
2/3/05,34.28,34.35,33.73,34.09,25192557
2/4/05,34.1,34.71,34.1,34.41,15412683
2/7/05,34.61,35.35,34.02,34.16,22165767
2/8/05,34.18,34.18,33.73,33.86,8202012
2/9/05,33.6,34.28,33.6,34.03,11993475
2/10/05,33.61,34.18,33.61,34.12,7072416
2/11/05,34.54,35.1,33.98,34.21,7666932
2/14/05,34.43,34.61,33.64,33.82,8456799
2/15/05,34.23,34.23,33.54,33.66,10946169
2/16/05,33.72,33.92,33.17,33.47,24724323
2/17/05,33.41,33.64,32.95,33.31,13837902
2/18/05,33.31,33.46,32.64,32.82,9292530
2/21/05,32.95,33.03,32.31,32.41,11323221
2/22/05,32.34,33.1,32.33,32.91,8056113
2/23/05,32.95,33.33,32.69,32.95,9423609
2/24/05,33.08,33.41,32.75,33.19,13885170
2/25/05,33.21,33.21,32.86,33.02,11237616
2/28/05,33.03,33.46,31.79,33.18,26795925
3/1/05,32.88,34.67,32.78,34.33,37824813
3/2/05,34.31,34.56,33.85,34.39,19857474
3/3/05,34.31,34.68,34.23,34.53,11613615
3/4/05,34.61,35.51,34.41,35.21,26182260
3/7/05,35.81,35.81,34.65,35.03,8168823
3/8/05,34.87,35.58,34.87,35.23,12706473
3/9/05,34.88,35.77,34.88,35.21,5935995
3/10/05,35,35.65,35,35.41,12577461
3/11/05,35.75,35.75,34.36,34.5,18183594
3/14/05,34.87,35.05,34.1,34.21,8470995
3/15/05,34.46,34.77,33.97,34.35,5765253
3/16/05,34.54,34.55,34.08,34.23,9987081
3/17/05,33.97,34.58,33.97,34.21,14671956
3/18/05,34.23,34.23,33.46,33.62,7012902
3/21/05,33.72,34.36,33.07,33.25,21007623
3/22/05,33.58,33.58,32.63,32.73,11364327
3/23/05,32.95,33.15,32.49,32.92,9149439
3/24/05,33.05,34.15,32.95,33.89,12168702
3/28/05,34.1,34.51,33.5,33.68,8942427
3/29/05,33.85,33.93,32.45,32.69,12366510
3/30/05,32.79,33.95,32.15,32.87,9525009
3/31/05,33.54,34.61,33.21,34.41,31589805
4/1/05,34.23,35.03,33.9,34.68,17914338
4/4/05,34.9,35.43,34.1,34.59,14803503
4/5/05,35,35.25,34.57,34.63,12225291
4/6/05,34.72,35.31,34.61,35.15,8511516
4/7/05,35.25,35.83,35.03,35.27,19835985
4/8/05,35.39,36.15,35,35.9,24275550
4/11/05,36.03,36.11,35.51,35.85,6196437
4/12/05,35.85,36.28,35.64,36.01,6926946
4/13/05,36.15,36.64,35.92,36.35,13263354
4/15/05,36.23,36.33,34.99,35.31,9052836
4/18/05,34.97,36.03,34.61,35.37,7617831
4/19/05,35.89,35.89,35.08,35.26,6572670
4/20/05,35.25,36.21,35,35.19,18187650
4/21/05,35.19,35.9,34.87,35.87,6733545
4/22/05,36.03,36.18,35.57,35.73,4357002
4/25/05,35.92,36.02,35.39,35.51,3394482
4/26/05,35.61,35.77,35.22,35.41,4573296
4/27/05,35.58,36.64,35.21,35.94,20488767
4/28/05,36.05,37.79,35.9,37.19,31141227
4/29/05,37.18,37.18,36.22,36.87,17692467
5/2/05,36.92,37.05,35.9,36.13,9987744
5/3/05,34.67,36.57,34.67,36.25,5667519
5/4/05,36.36,37,36.05,36.57,8207979
5/5/05,35.9,36.74,35.9,36.31,8945508
5/6/05,37.87,37.87,36.05,36.95,11876202
5/9/05,36.67,38.13,36.67,38.03,11169756
5/10/05,38.03,38.03,37.49,37.75,6970431
5/11/05,36.92,38.03,36.92,37.85,10774023
5/12/05,38.08,38.18,37.39,37.61,13637793
5/13/05,37.79,38.07,37.39,37.95,11914773
5/16/05,37.82,38.38,37.69,38.13,15266706
5/17/05,37.44,38.28,37.44,37.92,14033955
5/18/05,37.79,38.33,37.49,38.09,25491648
5/19/05,38.08,39.09,37.97,38.43,17815317
5/20/05,37.95,38.67,37.95,38.4,15473406
5/23/05,38.05,38.41,38.05,38.25,7200453
5/24/05,38.15,38.92,38.08,38.53,13670865
5/25/05,38.41,39.07,38.41,38.87,9337224
5/26/05,38.92,39.41,38.51,39.27,24488529
5/30/05,40.25,40.79,39.77,39.93,25223328
5/31/05,40,41.03,40,41.01,28136511
6/1/05,41.03,41.23,40.51,40.81,14261091
6/2/05,40.81,41.2,39.93,40.02,16163277
6/3/05,40.21,40.77,39.75,40.58,14668602
6/4/05,40.33,40.85,40.33,40.55,3073824
6/6/05,40.79,40.82,40.43,40.55,5346471
6/7/05,40.74,40.74,39.67,39.75,15800850
6/8/05,40.13,40.64,40.05,40.53,14113437
6/9/05,40.53,40.77,40.31,40.41,12967617
6/10/05,40.39,40.69,39.93,40.06,7976280
6/13/05,40.21,40.41,40.05,40.31,7497126
6/14/05,40.25,40.45,39.91,40.27,9472437
6/15/05,40.39,40.64,40.01,40.11,12658776
6/16/05,40.25,40.43,39.62,39.73,14032122
6/17/05,40,40.35,39.11,39.65,33490041
6/20/05,40.1,40.23,39.31,39.37,14096316
6/21/05,39.43,39.85,39.39,39.51,7142421
6/22/05,39.61,40.49,39.51,40.38,16948308
6/23/05,40.51,40.75,40.08,40.34,11588031
6/24/05,39.9,41.28,39.9,41.1,16776942
6/27/05,41.18,42.73,41.13,41.97,36886434
6/28/05,42.05,42.18,40.51,40.83,23037378
6/29/05,40.77,41.61,40.65,41.41,11362455
6/30/05,41.41,43.07,41.41,42.62,21304530
7/1/05,42.31,43.28,41.93,42.83,8114301
7/4/05,42.95,43.31,42.43,43.16,8311758
7/5/05,43.2,43.84,42.82,42.91,15213471
7/6/05,42.9,43.2,42.85,42.98,7367295
7/7/05,42.98,43.69,42.69,43.1,17446572
7/8/05,43.22,43.67,42.44,43.53,13364247
7/11/05,43.59,43.97,43.45,43.73,6137586
7/12/05,43.79,45.49,43.46,44.72,15829788
7/13/05,44.87,45.08,44.21,44.33,8742240
7/14/05,44.31,45.99,44.23,45.25,24246573
7/15/05,45.25,45.57,44.75,45.32,15244788
7/18/05,44.87,45,44.36,44.59,12715053
7/19/05,44.95,44.95,43.21,43.55,19454682
7/20/05,43.61,43.97,42.75,42.91,17677803
7/21/05,43.08,43.27,41.82,41.93,20354451
7/22/05,42.31,42.69,41.82,42.15,30577716
7/25/05,42.51,42.92,42.28,42.71,13122096
7/26/05,42.82,43.75,42.82,43.43,17154267
7/27/05,43.64,43.64,42.87,43.4,6764784
7/29/05,43.23,43.59,42.57,43.15,29800524
8/1/05,43.33,43.33,42.47,42.64,6183528
8/2/05,42.69,43.03,42.43,42.85,15774798
8/3/05,43.59,44.75,43.15,44.07,29808987
8/4/05,44.75,45.39,44.05,44.51,11001666
8/5/05,44.51,44.92,44.13,44.61,11745786
8/8/05,44.92,45,44.06,44.19,14401959
8/9/05,44.36,44.59,43.33,43.59,10695477
8/10/05,44.59,44.65,43.59,44.53,7850856
8/11/05,43.88,44.75,43.88,44.27,10928346
8/12/05,44.35,44.35,43.08,43.39,36321597
8/16/05,43.33,44.07,43.31,43.6,14630148
8/17/05,43.67,44.07,43.62,43.85,5609175
8/18/05,43.97,44.23,43.36,43.45,9828702
8/19/05,43.36,43.59,43.08,43.19,8379930
8/22/05,44.32,44.32,43.15,43.34,9120306
8/23/05,44.32,44.32,43.33,43.42,7049328
8/24/05,43.85,43.85,43.17,43.51,6964503
8/25/05,43.64,44.02,43.31,43.8,6377397
8/26/05,43.85,44.23,43.79,44.01,6252519
8/29/05,44.1,44.31,43.33,43.65,5719818
8/30/05,43.95,44.49,43.69,43.82,13042146
8/31/05,43.92,44.49,43.75,44.4,8347482
9/1/05,44.49,44.87,44.21,44.41,7874880
9/2/05,44.56,44.72,44.11,44.41,6935331
9/5/05,44.72,46.15,44.51,45.96,19616610
