Date,Open,High,Low,Close,Volume
1/3/05,465,472.45,463.1,470.35,1538102
1/4/05,472.9,474,462,463.85,2312917
1/5/05,465,480,430,446.65,2394444
1/6/05,451,454,432,436.55,2399370
1/7/05,440,443.8,436,440.65,1223939
1/10/05,444,444,420.5,423.85,1549423
1/11/05,424,434.7,422.05,427.35,2085983
1/12/05,430.9,435.5,408,412.8,2284901
1/13/05,417.5,443.8,417.5,437.3,3121027
1/14/05,439.9,439.9,417,419.75,2958265
1/17/05,428,428,414.7,420.65,1719245
1/18/05,423,427.7,415.65,418.55,2553295
1/19/05,419.3,422.1,405.15,408.15,1721974
1/20/05,406,406,389.15,394.75,3320697
1/24/05,396,412,395,410.35,4570076
1/25/05,408,423,407.1,421.7,3039705
1/27/05,424,439.9,423.15,437.95,5011692
1/28/05,438.6,450.4,430,448.7,3131902
1/31/05,452,455.5,448.55,453.75,1944413
2/1/05,457,457,442.1,449.55,2634893
2/2/05,445,454.5,445,450.15,1877102
2/3/05,450.1,462,450.1,460.25,1702495
2/4/05,462.65,465.7,452.15,463.05,2084505
2/7/05,464,467.5,455,459.15,1154572
2/8/05,461,470.3,453.6,465.55,2738393
2/9/05,466.5,489.75,463,487.9,5194546
2/10/05,490,492,478.15,481.15,2421244
2/11/05,481.2,502.5,480,500.4,3749050
2/14/05,507.5,507.5,486.55,491.05,2866704
2/15/05,492,494.95,487.35,490.05,2240671
2/16/05,491.2,493,468.1,471.8,2371155
2/17/05,474.4,475.5,467.05,473.65,2340274
2/18/05,473,477.9,458.35,463.1,2558533
2/21/05,467.7,472.6,462.5,465.85,2412215
2/22/05,465.7,475,463,473.75,1579808
2/23/05,475,476,468.1,471.3,1755617
2/24/05,471,476,468,472.95,1364660
2/25/05,476,479.35,471.3,474.35,1815111
2/28/05,477.7,483,458.6,473.1,3519639
3/1/05,476,477.4,459.45,463.5,2011161
3/2/05,468,468.8,454.1,462.1,2499042
3/3/05,463,475.2,463,473.85,1896269
3/4/05,475.2,485.5,473.55,483.6,1726626
3/7/05,484,485,464.6,469.2,2311464
3/8/05,467,473,463.15,465.2,1526766
3/9/05,467.9,468.9,457.15,459.95,1614461
3/10/05,460,465.2,457.15,461.6,1575096
3/11/05,463.15,468.9,454.9,457.65,1282578
3/14/05,457.65,462.7,451.6,453.8,1650505
3/15/05,454.05,456.4,447.15,449.45,1252332
3/16/05,451,455.8,447.5,449.85,977386
3/17/05,449,449,433.05,437.45,1504543
3/18/05,437,450.75,423.2,448,3328547
3/21/05,451,451,426.3,428.95,2446949
3/22/05,430,434.6,419.5,420.8,2295595
3/23/05,421,425.8,408.05,411.75,3727125
3/24/05,414,418.35,405,411.75,3175208
3/28/05,412,430.85,412,421.2,2478791
3/29/05,421.7,421.7,408.25,411.85,1621447
3/30/05,418,420.9,408,418.95,1879508
3/31/05,421.5,431.2,417,421.3,1556182
4/1/05,426.9,432.8,418,430.5,1554221
4/4/05,431,432,415,420.05,1596224
4/5/05,420.75,423,401.15,403.1,2071324
4/6/05,406,411.85,398.2,407.5,3490605
4/7/05,405.05,416.9,405.05,410.45,1786414
4/8/05,414,415,407.1,411.5,1800928
4/11/05,414.9,415.4,400.15,402.2,2038229
4/12/05,403.95,409.8,399,407.65,1750227
4/13/05,409.8,414,407,411.65,2097297
4/15/05,413,413,401.65,404.7,1241077
4/18/05,403,415,396.3,412.15,2207205
4/19/05,415,423.4,413.8,415,2267053
4/20/05,416.1,429.4,414.5,427,1561475
4/21/05,433,434.95,418,432.85,1965668
4/22/05,435,441.8,427.65,439.35,2515969
4/25/05,440,442.5,432,440.7,2114597
4/26/05,439,443.9,429.1,430.8,2193667
4/27/05,428.25,430.95,416.5,418.45,1586245
4/28/05,420,426.45,412.6,414.8,2386442
4/29/05,416,418,403.5,406.4,1596954
5/2/05,409,414.9,393,403.25,2914276
5/3/05,405.9,412.5,400.6,410.65,2125405
5/4/05,411.2,415,406.6,413.7,1634636
5/5/05,418,421.85,413.55,415.6,1332445
5/6/05,418.4,436.9,412,432.65,6038159
5/9/05,436.4,463,436.3,439.8,2510186
5/10/05,440,440.5,434.15,437.35,1778047
5/11/05,430.25,438.3,430.25,433.15,1612077
5/12/05,435,442.8,435,438.2,1472240
5/13/05,440,440,432.95,434.7,1504615
5/16/05,437,456,436,453.9,2595621
5/17/05,455,456.75,440.15,446,1835818
5/18/05,438.5,451.9,438.3,447.8,2278115
5/19/05,449,454,442.3,446.15,1312819
5/20/05,445,449.55,438.05,445.2,1197498
5/23/05,440.25,461.35,440.25,453.85,2178152
5/24/05,459,459.9,452.25,458.05,1566173
5/25/05,464.35,465,458.25,460.35,2531745
5/26/05,460,464.65,454.15,462.55,2016261
5/30/05,463,468.7,458.5,466.75,1822915
5/31/05,462.2,467.5,462.2,465.45,1053371
6/1/05,466,470.4,458.25,460.45,1561725
6/2/05,459,462,450,451.05,1155943
