Date,Open,High,Low,Close,Volume
1/3/05,91.67,92.69,90.81,92.37,11105016
1/4/05,92.78,93.11,91.77,91.95,6251778
1/5/05,91.77,91.77,87.79,88.61,15491040
1/6/05,88.89,88.89,86.78,87.27,11789010
1/7/05,87.33,89.44,87.33,87.94,9977910
1/10/05,88.53,89.08,86.68,87.11,8410320
1/11/05,86.95,88.45,86.45,86.68,8546634
1/12/05,86.67,87.53,85.67,86.29,12030342
1/13/05,86.39,88.67,86.22,87.38,14566560
1/14/05,87.78,89.43,86.11,86.6,10067490
1/17/05,86.67,88.75,84.69,86.9,9482424
1/18/05,87.55,88.33,85.55,86.05,8148546
1/19/05,86.53,86.53,85.35,85.57,4042800
1/20/05,89.11,89.11,85,86.98,8660508
1/24/05,87.11,87.67,86.11,86.59,6733374
1/25/05,86,87.42,86,87.03,14369922
1/27/05,87.67,88.76,87.22,87.67,19543752
1/28/05,87.78,89.22,87.55,88.47,14494302
1/31/05,90,91.73,89.45,90.95,34809054
2/1/05,91.68,92.33,90.69,91.35,22987356
2/2/05,91.22,92.12,90.89,91.15,11241816
2/3/05,91.33,92.89,91.22,92.65,11001348
2/4/05,92.78,93.32,91.39,91.89,9357324
2/7/05,92.21,92.77,91.15,91.35,7730334
2/8/05,91.12,91.67,90.55,91.07,10386636
2/9/05,91.17,92.37,91.17,91.55,13901094
2/10/05,91.58,91.87,90.47,90.95,8723382
2/11/05,91.11,91.55,90.78,91.21,12456144
2/14/05,91.11,92.59,91,91.51,11410980
2/15/05,92.09,92.09,90.81,91.1,13729860
2/16/05,91.55,91.71,89,89.53,5671698
2/17/05,89.55,90.69,88.91,89.91,11487174
2/18/05,90.33,91.1,89.34,89.57,10123812
2/21/05,91.52,91.52,89.48,90.04,8166660
2/22/05,90.11,90.42,89.69,89.99,7632414
2/23/05,90.31,91.21,90.11,90.48,16458588
2/24/05,90.55,91.42,90.37,90.68,16393326
2/25/05,93.22,94.19,92.22,93.63,28384956
2/28/05,93.89,95.11,91.92,94.75,20793096
3/1/05,95,96.67,93.59,96.31,22848876
3/2/05,95.95,96.67,94.84,95.2,17243160
3/3/05,95.55,99.15,95.55,98.87,39474762
3/4/05,99.15,100.45,98.67,99.16,22066380
3/7/05,99.78,101.45,99.55,100.36,18105990
3/8/05,100.55,101.22,99.11,100.37,16246410
3/9/05,100.67,102.15,99.47,101.46,16816866
3/10/05,101.55,104.45,100.39,103.47,21191532
3/11/05,102.78,103.88,100.91,101.23,12971760
3/14/05,101.83,103.11,101.05,101.17,10591044
3/15/05,101.11,102.22,100.69,101.45,8474742
3/16/05,111.11,111.11,100.28,101.01,13098678
3/17/05,101.11,102.15,100.22,101.38,16032330
3/18/05,101.26,102.45,100.85,101.22,15405408
3/21/05,101.67,102.21,100.04,100.58,10408470
3/22/05,100.67,101.07,99.11,99.45,8614752
3/23/05,99.45,99.45,95.24,95.73,17664072
3/24/05,95.73,96.11,94.03,94.54,17626446
3/28/05,94.56,96.65,94.56,95.77,12833844
3/29/05,95.78,95.78,92.01,92.57,13853466
3/30/05,92.89,96.39,92.89,95.52,21988464
3/31/05,96.22,99.91,95.89,98.37,19876122
4/1/05,98.73,98.73,94.55,97.88,11902122
4/4/05,98.11,99.75,96.56,99.21,15940680
4/5/05,99.23,101.67,99.11,101.35,23608914
4/6/05,101.36,102.22,99.68,101.73,11842980
4/7/05,101.75,102.53,99.01,99.52,8538210
4/8/05,100,100,97.78,98.45,6271020
4/11/05,99.02,99.02,96.78,97.33,4764102
4/12/05,97,99.09,97,98.19,4577874
4/13/05,98.23,98.77,97.05,97.66,5031990
4/15/05,97.66,97.66,93.83,94.51,13416162
4/18/05,96.67,96.67,91.68,92.33,8842902
4/19/05,93.21,95.07,92.99,93.39,16500474
4/20/05,94.45,104.22,94.11,95.06,9659448
4/21/05,93.89,96.67,89.59,94.62,6364482
4/22/05,96.33,96.41,94.35,95.35,8188866
4/25/05,95.33,96.45,94.34,95.67,8508222
4/26/05,95.78,95.78,93.57,93.92,5628996
4/27/05,93.89,94.43,92.05,92.38,5354574
4/28/05,92.78,95,91.67,92.98,14896908
4/29/05,93.53,93.53,89.59,90.13,8966412
5/2/05,93.33,93.33,90.68,91.9,4462170
5/3/05,92.11,92.55,91.24,91.73,6217746
5/4/05,91.98,93,91.33,92.8,4880952
5/5/05,93.45,95.55,93.33,95.24,10458798
5/6/05,95.37,96.45,94.81,95.79,7666134
5/9/05,97.22,99.75,95.68,96.84,5323338
5/10/05,97,98.99,96.25,97.64,13642548
5/11/05,97.55,97.89,96.45,97.25,6981858
5/12/05,97.22,98.73,96.25,98.29,5602038
5/13/05,97.55,98.33,96.45,97.79,8192034
5/16/05,97.77,99.22,97.77,98.85,6800274
5/17/05,98.89,99.45,96.45,97.16,7773192
5/18/05,96.11,96.45,94.67,95.79,11666286
5/19/05,95.67,96.11,94.45,95.03,4750668
5/20/05,95,95.3,93.89,94.25,4176630
5/23/05,94.89,97.78,94.33,96.5,3776832
5/24/05,97.55,97.78,95.73,96.97,5771394
5/25/05,96.67,98.55,96.45,98.13,7302948
5/26/05,97.81,101.62,96.48,100.6,20716278
5/27/05,101.11,103.25,99.55,100.18,17307468
5/30/05,100,102.22,100,101.29,9937572
5/31/05,101.11,103.21,100.92,102.53,8061684
6/1/05,102.37,103.89,100.35,103.32,11107746
6/2/05,103,103.3,102.01,102.69,12818340
6/3/05,102.55,104.39,102.55,104.16,7501938
6/4/05,103.89,104.33,102.25,102.89,1936752
6/6/05,103,104.33,102.55,104,5956998
6/7/05,102.8,104.21,102.8,103.69,5945856
6/8/05,103.89,103.98,101.79,102.43,5284968
6/9/05,101.89,103.88,100.61,101.19,5967342
6/10/05,111.11,111.11,100.08,100.39,9254664
