Date,Open,High,Low,Close,Volume
1/3/05,634,634,622,624.02,463480
1/4/05,620.05,625,616.17,618,305986
1/5/05,605.52,617.92,592.5,604.62,769076
1/6/05,600,609.85,592.05,601.55,618506
1/7/05,606,606,597.6,600.7,315168
1/10/05,599.5,599.5,578.17,582.42,1111544
1/11/05,592.5,599,550.67,554.33,2019314
1/12/05,557.5,557.5,526.25,534.05,1930992
1/13/05,540,549.88,531,536.7,1392968
1/14/05,537,541,530.12,534.33,740392
1/17/05,532,532,499.05,519.83,3264274
1/18/05,524,542.35,500.82,507.12,3460656
1/19/05,501,513.33,495.5,499.75,2673214
1/20/05,509.32,509.32,484,491.75,1657892
1/24/05,491.75,494.92,485,490.18,1546732
1/25/05,489.95,499.5,488.5,492,1232778
1/27/05,495,517.22,495,509.95,3137468
1/28/05,524.5,542.25,516,536.5,2777726
1/31/05,549.98,552,539,541.67,1746050
2/1/05,542.5,544,527.65,539.58,1109470
2/2/05,538.5,539.4,524.1,526.48,809672
2/3/05,527.5,533.5,521.05,530.22,617196
2/4/05,534.5,542.92,530.02,540.6,705342
2/7/05,544.5,544.5,527.5,531.35,464212
2/8/05,530,532.45,522.5,525.38,191338
2/9/05,527,527.42,519,521.02,645374
2/10/05,524.95,535,518.92,522.28,1072850
2/11/05,525,527.5,521.58,522.8,743888
2/14/05,529,532,522.5,526.3,562448
2/15/05,528.5,533.95,524.08,526.7,1513900
2/16/05,527.5,531,522.5,526.95,1048960
2/17/05,523,525.45,515.55,519.52,485438
2/18/05,520,523.1,509,512.52,827234
2/21/05,507.55,519.72,507.55,513.95,1285078
2/22/05,507.5,512.5,504.12,506.75,961626
2/23/05,507,507.4,500.6,505.72,552612
2/24/05,505.02,510.92,497.5,500.3,1824242
2/25/05,509,515.5,501.58,510.62,1796966
2/28/05,495.25,513,495.25,511.12,803832
3/1/05,507.5,515,502.6,508.92,423184
3/2/05,502.5,513.5,498.58,500.98,1215462
3/3/05,504.9,512,499,509.38,792862
3/4/05,512.5,518.5,507.65,512.15,943884
3/7/05,514,521.17,513.52,517.9,948686
3/8/05,520.7,535.5,518.6,529.22,1219616
3/9/05,530,551,524.62,545.9,1274854
3/10/05,545.5,548.75,538.58,541.8,552980
3/11/05,541.98,544.45,532.5,536.85,762914
3/14/05,537.5,539.72,521.52,537.3,866488
3/15/05,532.5,540.92,523.75,534.58,1092266
3/16/05,532.5,540,523.17,526.05,952988
3/17/05,521,530.9,521,523.67,264416
3/18/05,525,539.9,518.65,537.35,868496
3/21/05,533.5,546,518.25,536.58,542466
3/22/05,535,545.5,532.67,535.48,774034
3/23/05,535,548,535,539.25,1080608
3/24/05,542.5,544.4,523.55,527.6,1041732
3/28/05,528.5,542.7,527.5,536.45,636592
3/29/05,539.02,542.35,528,532.83,997326
3/30/05,526.5,534.95,506.3,512.2,2083806
3/31/05,510,524,496.25,504.4,2979756
4/1/05,502.45,510.45,493.28,507.5,2294546
4/4/05,509.5,514.75,501.08,504.65,1077082
4/5/05,504.9,506.78,494.05,496.52,502912
4/6/05,504.65,504.65,496,497.82,485322
4/7/05,502.5,515,492.75,493.42,582924
4/8/05,495,497,486.05,489.38,659714
4/11/05,490,501.05,485,495,572840
4/12/05,499,499.5,491,494.82,551652
4/13/05,495,496,490.1,493.08,258018
4/15/05,489.5,489.5,473.68,476.78,698896
4/18/05,468,473.5,464.02,468.35,526176
4/19/05,468.35,475.5,466.78,470.52,462120
4/20/05,474.95,479.95,471.25,476.55,302130
4/21/05,475,479,470.5,472.28,403292
4/22/05,478,478,459,462.45,732582
4/25/05,467.55,467.55,456.15,458.22,960138
4/26/05,458.22,462.25,455.15,457.9,735652
4/27/05,459,463.45,451.1,453.6,835442
4/28/05,454.25,463.45,438.52,456,3790978
4/29/05,451.4,460,435.12,456.88,2933050
5/2/05,451,458.7,445.25,456.88,655560
