Date,Open,High,Low,Close,Volume
1/3/05,202.28,204.38,200.18,203.94,18315924
1/4/05,206.25,206.25,198.6,199.22,14022211
1/5/05,197.25,200.04,193.56,198.73,21412384
1/6/05,198,201.19,195.84,197.32,17514132
1/7/05,200.62,205.39,197.83,203.34,20590656
1/10/05,204.43,205.46,199.16,200.31,14226416
1/11/05,200.62,200.62,196.16,197.16,11265246
1/12/05,198.38,198.75,193.16,194.32,19901456
1/13/05,196.88,197.16,194.44,195.04,15204592
1/14/05,196.37,196.37,191.66,192.71,13391870
1/17/05,193.12,194.25,189.15,191.83,13447240
1/18/05,192.41,195.9,190.82,191.57,17001760
1/19/05,192.75,194.4,191.7,192.64,8677574
1/20/05,191.29,193.12,189.08,191.81,9768507
1/24/05,192.56,195.51,189.6,190.01,17881580
1/25/05,189.71,191.21,186.92,188.1,21891012
1/27/05,189.41,192.38,188.89,189.79,18421134
1/28/05,190.12,196.29,183.75,195.84,15132774
1/31/05,196.88,200.44,196.01,199.61,16348211
2/1/05,200.21,205.12,198.77,203.61,21378024
2/2/05,204.08,205.26,198.82,200.08,13067144
2/3/05,202.42,203.78,201,202.86,8790315
2/4/05,204,204.38,199.65,201.43,10605894
2/7/05,224.18,224.18,198.24,198.88,6888072
2/8/05,199.5,201.28,198.38,200.18,9607195
2/9/05,200.34,202.69,200.27,201.43,6888533
2/10/05,201.71,204.26,199.44,203.44,9466176
2/11/05,204.02,207,203.66,205.28,14833656
2/14/05,206.96,207.47,202.07,203.83,10252094
2/15/05,203.87,203.87,200.81,202.2,9010875
2/16/05,202.14,203.96,199.54,200.64,9572859
2/17/05,201,201.66,198.81,200.94,8975720
2/18/05,201,203.55,199.16,200.32,11556654
2/21/05,200.34,202.05,199.35,200.44,8939771
2/22/05,200.25,203.01,199.52,202.33,11352755
2/23/05,202.39,206.25,202.39,205.61,14850462
2/24/05,206.36,207.56,204.6,205.12,13256171
2/25/05,206.25,206.59,201.82,202.56,10623040
2/28/05,202.58,210,200.94,208.59,20215368
3/1/05,209.06,209.06,204.19,205.33,12998307
3/2/05,205.12,206.98,204.21,206.12,13856086
3/3/05,206.32,210.94,206.32,209.48,17305238
3/4/05,209.83,215.02,209.83,214.52,23228446
3/7/05,208.2,221.42,208.2,220.09,19336494
3/8/05,220.8,222.62,218.32,221.66,19314620
3/9/05,223.16,225.28,219.02,220.44,20310992
3/10/05,220.5,223.88,219.19,222.75,14393110
3/11/05,223.5,225.3,219.56,220.48,15760459
3/14/05,220.24,221.96,216.02,217.12,9424230
3/15/05,217.5,219.04,213.45,214.07,13347344
3/16/05,214.14,216.68,212.85,215.36,11402222
3/17/05,213.38,215.55,209.34,210.94,12393051
3/18/05,210,215.21,208.18,214.44,12806814
3/21/05,214.88,216.3,209.25,209.89,7284315
3/22/05,209.66,210.22,202.91,204.26,12714718
3/23/05,204,213.71,202.24,207.28,36373964
3/24/05,208.12,212.78,208.12,210,21519688
3/28/05,210.75,214.99,210.56,212.29,10766846
3/29/05,212.62,212.96,204.41,205.93,12724979
3/30/05,205.5,208.01,202.16,203.68,15437731
3/31/05,204.41,207.52,203.83,204.77,16813628
4/1/05,208.88,212.48,205.46,211.72,13407934
4/4/05,212.62,213.21,209.66,211.89,9196979
4/5/05,212.23,213.68,207.58,208.52,10388438
4/6/05,209.25,214.84,209.25,214.35,11716446
4/7/05,214.84,216.34,211.33,212.04,9737579
4/8/05,212.62,213,207.52,208.82,8959990
4/11/05,208.88,208.88,204.38,205.26,4974691
4/12/05,205.58,207.13,204.38,205.76,8884651
4/13/05,206.62,207.3,203.62,204.58,5519771
4/15/05,203.96,203.96,197.27,198.66,10434432
4/18/05,197.62,197.62,193.12,194.46,11884262
4/19/05,196.5,198.94,192,192.75,9649139
4/20/05,193.72,199.48,193.16,198.77,11576144
4/21/05,198,204.75,196.88,203.59,16233238
4/22/05,205.12,206.18,201.08,205.31,14847747
4/25/05,204.38,205.8,202.33,205.01,9234870
4/26/05,203.25,206.51,202.91,205.18,10324883
4/27/05,208.12,209.81,199.99,202.12,35722656
4/28/05,202.42,206.25,200.01,203.94,20030990
4/29/05,206.32,206.32,196.91,198.02,10033379
5/2/05,198.56,200.81,196.74,200.19,8192509
5/3/05,199.88,203.62,197.08,202.86,9211512
5/4/05,203.25,204.38,201.38,203.01,5594741
