Date,Open,High,Low,Close,Volume
1/3/05,65.45,66.29,65.01,65.58,21314520
1/4/05,65.89,65.89,64.61,64.99,24726300
1/5/05,65,65.58,59.1,61.74,49197380
1/6/05,61.52,62.89,59.61,60.43,45024060
1/7/05,60.94,62,60.52,61.56,29235630
1/10/05,63.5,63.5,59.76,60,31267390
1/11/05,60,60.78,58.53,58.82,34341190
1/12/05,56.2,59.67,56.2,57.32,32300970
1/13/05,58.7,59.69,58,59.3,24193670
1/14/05,59.5,60.1,57.33,57.84,35157960
1/17/05,58.8,59.59,57.32,58.9,29329560
1/18/05,59.4,59.94,58.16,58.45,25896530
1/19/05,58.7,58.95,57.91,58.12,19174170
1/20/05,57.87,58,56.71,57.64,21033680
1/24/05,57.7,57.7,56.46,57.12,17272390
1/25/05,56.5,58.8,56.5,58.2,20795070
1/27/05,58.6,58.8,57.92,58.1,19522260
1/28/05,58.39,62.7,58.15,62.22,69137950
1/31/05,62.6,64.64,62.6,64.3,33636770
2/1/05,64,64.6,63.12,63.4,24672770
2/2/05,63.6,65.54,63.6,64.88,45382650
2/3/05,64.71,66.18,64,65.61,40846470
2/4/05,66.9,66.9,64.51,64.82,41306080
2/7/05,65.3,65.7,64,64.28,24935640
2/8/05,64.5,64.78,63.16,63.52,28933960
2/9/05,64,65.39,63.8,65.22,27328700
2/10/05,65.3,65.98,55.97,64.85,27176710
2/11/05,65.29,65.68,64.9,65.4,19391560
2/14/05,65.8,67.47,65.8,66.55,28081800
2/15/05,66.8,66.8,65.46,66.11,24449660
2/16/05,66.11,67.78,65.53,66.32,41092320
2/17/05,66.21,66.32,65.16,65.97,39681590
2/18/05,66.77,66.97,65.41,65.82,26873100
2/21/05,66.17,66.54,65.11,66.08,36945590
2/22/05,66.08,68.6,66,68.04,44416560
2/23/05,68.3,68.9,67.42,67.7,33354960
2/24/05,68,69.38,67.8,69.1,50684740
2/25/05,69.5,69.55,68.1,68.51,33328180
2/28/05,69.48,71.92,67,71.46,75256750
3/1/05,71.1,71.69,69.26,69.56,51286580
3/2/05,69.9,70.95,69.75,70.64,27637440
3/3/05,70.78,71.98,70.6,71.71,32076320
3/4/05,71.9,72.6,71.13,71.34,28045130
3/7/05,71.65,73.49,71.53,72.66,36209830
3/8/05,72.5,72.96,71.92,72.4,21075010
3/9/05,72.7,73.19,71.22,72.09,25778070
3/10/05,71.99,74.45,71.59,74.21,44458000
3/11/05,74.11,75.1,73.5,73.69,36804740
3/14/05,73.7,74.33,73.14,73.41,23260510
3/15/05,73.4,73.76,72.5,73.18,24752090
3/16/05,73.2,73.8,72.5,72.8,20367240
3/17/05,72.99,73.24,71.8,72.62,22392190
3/18/05,72.7,73.03,71.23,72.78,30164130
