Date,Open,High,Low,Close,Volume
1/3/05,333.86,339.18,333.86,338.31,2367084
1/4/05,337.5,338.5,333.29,335.31,2489552
1/5/05,335.05,335.05,320.08,331.25,4802160
1/6/05,330,336.5,323.12,330.11,4003444
1/7/05,332.5,336.25,328.16,334.99,3811568
1/10/05,337.16,339.85,330.5,331.86,3760784
1/11/05,332.5,333.82,325.25,328.44,3993188
1/12/05,331.49,341.99,321.68,324.51,10360016
1/13/05,327.5,334.68,318.75,323.23,13878976
1/14/05,326.18,329.48,319.25,324.1,7878888
1/17/05,327.4,327.4,310.05,315.81,6825592
1/18/05,318.68,321,314.38,315.96,3091632
1/19/05,316.5,318.42,312.77,313.85,1769244
1/20/05,313.75,313.75,307.5,310.92,2268100
1/24/05,310.92,311.84,303.84,305.16,1814096
1/25/05,303.7,309.98,301.77,308.86,2232964
1/27/05,310.81,313.45,308.82,310.14,2727672
1/28/05,310.71,323.7,310.62,322.3,4196908
1/31/05,324.5,327.95,322.56,325.1,2926692
2/1/05,326.75,330,321.75,328.81,4009920
2/2/05,329.75,330.86,325.75,327.24,2435228
2/3/05,328,328.69,325.5,327.78,1663808
2/4/05,327.5,330.5,325.14,326.61,1342020
2/7/05,328.15,332.68,325.25,328.44,2972108
2/8/05,328.44,330.75,327,329,1642216
2/9/05,330.25,335.9,330.19,333.2,2768968
2/10/05,332.5,335.88,330.75,333.16,2188324
2/11/05,334.5,346.75,334.5,345.44,5183548
2/14/05,347.76,354.5,347.76,352.41,4437632
2/15/05,352.5,353.75,343.5,345.34,1988360
2/16/05,349.75,349.75,340.25,342.04,1563416
2/17/05,342.04,346.5,337.65,345.46,2062488
2/18/05,345,348,338.75,343.75,1272572
2/21/05,342.75,343.95,336.28,341.39,888576
2/22/05,341.18,342.49,337.75,340.86,1069520
2/23/05,340.86,345.52,338.79,343.74,2583408
2/24/05,343.74,348.98,340.3,341.99,5403220
2/25/05,344.2,344.75,338.29,341.01,2535448
2/28/05,344.75,346.25,335,345.22,3201204
3/1/05,345.25,360,337.75,339.36,2479076
3/2/05,343.75,343.75,340.4,342,1329056
3/3/05,342.5,348.75,341,347.39,1445580
3/4/05,348.5,350.88,345.5,348.06,2008936
3/7/05,348.75,352,348.5,350.05,1829016
3/8/05,351,355.22,348.84,353.49,2513840
3/9/05,352.25,356.62,348.76,351.88,2711044
3/10/05,352.5,352.5,347.56,349.89,1151140
3/11/05,351.5,358.72,351.25,356.86,2602872
3/14/05,357,365,355,362.96,3267016
3/15/05,362.75,365.5,357.5,360.66,2073240
3/16/05,360,366.9,360,363.01,2736708
3/17/05,362,368.42,360,365.24,3402664
3/18/05,364.75,368.12,356.25,367.18,3061732
3/21/05,367.54,368.75,361.15,364.11,2177060
3/22/05,363.7,364.28,360.02,360.89,1342216
3/23/05,360,362,353.34,355.31,1719708
3/24/05,357.5,359.5,344.41,346.09,2977288
3/28/05,347.75,352.21,346,348.1,1849864
3/29/05,348.75,349.5,340.55,342.72,1526700
3/30/05,342.78,350,340,347.64,2057628
3/31/05,351.12,361.28,349.31,358.01,3457320
4/1/05,358.25,364.25,353.5,362.74,2781336
4/4/05,363,364.2,355.82,356.94,2628680
4/5/05,357.25,360.62,354.02,356.36,1683916
